,steps_at_conv
0,1240266
1,865005
2,793681
3,992148
4,953446
5,1396041
6,735531
7,893110
8,860530
9,1129992
10,885821
11,1163017
12,1091190
13,917204
14,1128231
15,1263997
16,1149838
17,1118852
18,748674
19,1080505
20,973075
21,1159429
22,884645
23,832542
24,852760
25,1272462
26,885421
27,1117042
28,1010790
29,1077762
30,1082535
31,1225114
32,1401898
33,946148
34,1238830
35,1170814
36,792670
37,1116433
38,1108227
39,958245
40,1008375
41,1067450
42,813560
43,1150295
44,1202549
45,1175821
46,1528513
47,840254
48,822415
49,1320215
50,805880
51,1015123
52,791789
53,897725
54,886298
55,1173583
56,1072650
57,1173435
58,762680
59,793515
60,1095172
61,931294
62,981627
63,900202
64,1095830
65,863423
66,1223411
67,1027398
68,1444625
69,765069
70,870097
71,1203575
72,1452900
73,821867
74,1145472
75,1113635
76,908779
77,1162940
78,846473
79,1268012
80,1415190
81,1243929
82,1135255
83,1200351
84,1025625
85,925062
86,1364121
87,911129
88,807918
89,1032015
90,1184617
91,1239334
92,1172208
93,1085320
94,824356
95,940546
96,1429154
97,1196569
98,732787
99,1069699
100,758378
101,1221538
102,744215
103,914547
104,1149841
105,764280
106,1203478
107,1138674
108,1119763
109,1219056
110,922609
111,1197682
112,763218
113,1005929
114,1331621
115,1201123
116,935274
117,729720
118,1182477
119,1143405
120,962117
121,1322921
122,1233693
123,860945
124,820257
125,1158762
126,1548992
127,1083407
128,830326
129,810923
130,1075897
131,1122921
132,1197408
133,1282198
134,1193435
135,1125990
136,1442472
137,1174334
138,986268
139,1400706
140,1049335
141,1046615
142,1093507
143,1057690
144,1841970
145,1238913
146,1131344
147,992830
148,1388497
149,1135725
150,796052
151,935682
152,1193399
153,791930
154,834594
155,1025379
156,1760316
157,766921
158,828288
159,936587
160,860402
161,1072689
162,977443
163,1138091
164,744844
165,984491
166,1432171
167,844516
168,1082735
169,954890
170,1488348
171,961120
172,1070985
173,1124246
174,1259406
175,1157286
176,1733683
177,1238753
178,1080126
179,802822
180,1012790
181,1149936
182,1025007
183,727983
184,1180899
185,849286
186,1054413
187,740607
188,1222169
189,1179324
190,768962
191,1134247
192,1086908
193,852915
194,1228945
195,1307818
196,976458
197,1071896
198,1094397
199,1310105
200,1212768
201,1147629
202,1247501
203,931271
204,1144779
205,1133018
206,1844669
207,799353
208,1165346
209,924866
210,818949
211,1167822
212,1178224
213,944512
214,713194
215,825978
216,834656
217,857440
218,1163886
219,861276
220,1087284
221,734111
222,976954
223,1602392
224,952886
225,1332246
226,1055834
227,803661
228,800806
229,1181800
230,839586
231,776765
232,911164
233,1110786
234,1102560
235,1044924
236,1080170
237,791773
238,1708133
239,906111
240,990983
241,937828
242,953944
243,828862
244,905587
245,1032195
246,867534
247,920221
248,883027
249,710836
250,882149
251,758292
252,1038790
253,931361
254,1213326
255,956013
256,1167991
257,794913
258,1228164
259,1135777
260,1168493
261,1180835
262,858356
263,752076
264,1210954
265,1002718
266,1084100
267,1018015
268,1135219
269,1126572
270,1080597
271,927852
272,955112
273,1086456
274,767663
275,1224261
276,1006384
277,969609
278,1044261
279,1264127
280,1274911
281,1335790
282,890264
283,782815
284,1065458
285,1158962
286,784832
287,1050373
288,1222994
289,1122250
290,1006561
291,810562
292,1199142
293,1126758
294,1066614
295,814383
296,811064
297,1051875
298,816400
299,916347
